,dates,D,R,T,H,E
140,2020-06-25,152207,9141,651,75351,19264
141,2020-06-26,154050,8886,634,75649,19290
142,2020-06-27,154568,8886,634,75649,19290
143,2020-06-28,155094,8886,634,75649,19290
144,2020-06-29,155572,8688,619,75999,19325
145,2020-06-30,156265,8536,602,76274,19346
146,2020-07-01,157383,8336,582,76549,19364
147,2020-07-02,158230,8148,573,76802,19378
148,2020-07-03,158970,7990,560,77060,19396
149,2020-07-04,160147.47179637715,,,,
150,2020-07-05,160740.02606408286,,,,
151,2020-07-06,160485,7850,548,77319,19423
152,2020-07-07,161216,7594,538,77655,19457
153,2020-07-08,162176,7297,529,77996,19489
154,2020-07-09,162917,7177,512,78170,19503
155,2020-07-10,163690,7062,496,78388,19528
156,2020-07-11,164853.69460664623,,,,
157,2020-07-12,165521.99869043715,,,,
158,2020-07-13,165394,6983,492,78597,19553
159,2020-07-14,166416.01778783707,,,,
160,2020-07-15,166389,6915,482,78820,19579
161,2020-07-16,167042,6796,481,79036,19597
162,2020-07-17,167986,6688,477,79244,19611
163,2020-07-18,169192.68886060116,,,,
164,2020-07-19,170006.75568852827,,,,
165,2020-07-20,170165,6589,467,79541,19636
166,2020-07-21,170856,6482,455,79734,19649
167,2020-07-22,171970,6366,445,79957,19656
168,2020-07-23,173441,5957,436,80472,19666
169,2020-07-24,174808,5720,410,80815,19676
