,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
10,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999278870874916,2.786500119676218e-05,1.4134914938484878e-05,6.12360332664457e-06,1.466599669936241e-05,1.5653439158131589e-06,7.717022469266865e-06,4.102996193609947e-08,2.7565469562633763e-06,1.6616430745418735
11,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999913067426709,3.271817620014575e-05,1.6843979504702477e-05,7.207158221452003e-06,1.8338820041427066e-05,2.0732746303749876e-06,9.692053487442287e-06,5.911120542764632e-08,3.591745961985069e-06,1.6616430745418735
12,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998956527195466,3.8428585897338714e-05,1.9989477261447652e-05,8.474412320216314e-06,2.2636339195869114e-05,2.6932530772586865e-06,1.2042400426959254e-05,8.281227437560001e-08,4.6032937039736756e-06,1.8029364619580786
13,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998749376916422,4.638494743729072e-05,2.265237476302989e-05,1.0024734911353968e-05,2.760799810974634e-05,3.4434952828306515e-06,1.4835416122571665e-05,1.1334173099426298e-07,5.803310906928316e-06,1.8029364619580786
14,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998500022518869,5.5929277564158275e-05,2.607959921273025e-05,1.1960846750044127e-05,3.336824672132818e-05,4.345365957650019e-06,1.8162307497959773e-05,1.5210440923465346e-07,7.211293858325718e-06,1.8029364619580786
15,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998199818847374,6.739771044468502e-05,3.0390784929854653e-05,1.4335355499497548e-05,4.013257588932527e-05,5.425516054481552e-06,2.2135428915492916e-05,2.0074352913091434e-07,8.873138460611999e-06,1.8029364619580786
16,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9997838376517736,8.119010889866497e-05,3.5736574048764644e-05,1.7221278180116542e-05,4.814648261168366e-05,6.7170558601696065e-06,2.688964865060761e-05,2.611999764299199e-07,1.0843725765305172e-05,1.8029364619580786
17,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9997403201590641,9.778471075635949e-05,4.230345001364623e-05,2.0712574761776544e-05,5.7695709302152524e-05,8.260661765483346e-06,3.2586952174673556e-05,3.357821617210687e-07,1.3188768366661851e-05,1.8029364619580786
18,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999687926474844,0.00011775507510677197,5.031994495203971e-05,2.4926130996166515e-05,6.911718121930113e-05,1.010595554771421e-05,3.94219890679226e-05,4.272482661460445e-07,1.5987043983937106e-05,1.8029364619580786
19,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9996248485088328,0.00014179001972742177,6.00643693639451e-05,3.000498129684688e-05,8.281127140784008e-05,1.2313198362880298e-05,4.762874721075949e-05,5.389037974562493e-07,1.933308748713305e-05,1.8029364619580786
20,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9995489111076044,0.00017071728380001197,7.187428459739862e-05,3.612270539091828e-05,9.925596953448911e-05,1.4955354199560393e-05,5.748857700937915e-05,6.74717863755982e-07,2.3340429879802535e-05,1.8029364619580786
21,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999457497806244,0.0002055317312289711,8.615800835489959e-05,4.348903427741104e-05,0.00011902353271117937,1.812059114436242e-05,6.933983385326581e-05,8.394621859242476e-07,2.8145492211670445e-05,1.8029364619580786
22,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9993474618007949,0.00024742902319775493,0.00010340851593977304,5.235677902621329e-05,0.00014280023892932953,2.1915304144128817e-05,8.358946034048298e-05,1.0388776274031199e-06,3.3912264890926735e-05,1.5994718803392125
