,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
10,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999342471786125,2.519838942416898e-05,1.2864304330335906e-05,5.541011461144567e-06,1.3544774954319077e-05,1.457702624697287e-06,7.108528870758413e-06,3.810972210051929e-08,2.562864535170995e-06,1.6616430745418735
11,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999208865002095,2.9575818096300797e-05,1.5293888354377667e-05,6.5162458997029104e-06,1.685454099832103e-05,1.9216868023879614e-06,8.896530150348525e-06,5.478948908618839e-08,3.323423321113425e-06,1.6616430745418735
12,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999051936315786,3.5203937622685095e-05,1.7637171966615048e-05,7.657431953464784e-06,2.0723624429820986e-05,2.4861371292359683e-06,1.1021489146334496e-05,7.657617332799371e-08,4.242112747816723e-06,1.8029364619580786
13,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998863375981768,4.242817883950567e-05,2.016335747851307e-05,9.107560999608719e-06,2.514677037203347e-05,3.1671693017518598e-06,1.3544814344679246e-05,1.0455048712197687e-07,5.314678611316377e-06,1.8029364619580786
14,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998636539107675,5.1099171604667996e-05,2.3365063921480628e-05,1.0891925756838443e-05,3.031259781038667e-05,3.983776182489649e-06,1.6553590387657913e-05,1.3996356896895023e-07,6.577310817358708e-06,1.8029364619580786
15,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998363634529703,6.151734237081113e-05,2.7353639430777964e-05,1.3064084618058907e-05,3.640765713635423e-05,4.960493039697856e-06,2.0149048898687738e-05,1.8428153540294407e-07,8.071280171504277e-06,1.8029364619580786
16,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9998035299785347,7.404153537262937e-05,3.226746104050319e-05,1.5693550392583232e-05,4.364803740419823e-05,6.127548861062815e-06,2.445264611428133e-05,2.3924228014550626e-07,9.845923490422408e-06,1.8029364619580786
17,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999764028019676,8.910167800518596e-05,3.8276513164027795e-05,1.8867199209995258e-05,5.228759783080332e-05,7.521884158048274e-06,2.9610190969475703e-05,3.0691698649282724e-07,1.1960306250289089e-05,1.8029364619580786
18,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9997165044463407,0.00010721367350709462,4.55881036812939e-05,2.2691609802415147e-05,6.2627171529907e-05,9.188403038626329e-06,3.5796809188526346e-05,3.897829113519815e-07,1.4485224643755273e-05,1.8029364619580786
19,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999659332374866,0.00012899706955606417,5.445388233049609e-05,2.7296287927710937e-05,7.502516664281055e-05,1.1181499973092526e-05,4.322290874136936e-05,4.908099623177729e-07,1.7505612657135845e-05,1.8029364619580786
20,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9995905558862035,0.00015519611636091084,6.517837782865213e-05,3.2837803159229916e-05,8.99099948383952e-05,1.3566911704110473e-05,5.214134586373209e-05,6.135640415229656e-07,2.1123434137732556e-05,1.8029364619580786
21,0.422,0.0057,0.285,0.0057,0.143,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9995078237276132,0.00018670491719052787,7.812932473099158e-05,3.950492244340108e-05,0.00010779479050432775,1.6423956121848244e-05,6.285603070765866e-05,7.623306880557333e-07,2.5461156499503697e-05,1.8029364619580786
22,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9994172353151813,0.0002206531284069316,9.874001162820034e-05,3.76627280772643e-05,0.000125855333966639,1.8872591280863157e-05,8.003862822847374e-05,9.422632303235396e-07,2.9880475013847303e-05,1.5994718803392125
